id	filename	md5	size	state
9e1c12e6-d7f2-41c3-b2c8-35f9b4aee031	fa2ed0b8-5aaa-4226-9642-d68432ce13ba.wxs.aliquot_ensemble_masked.maf.gz	af73c3b7397ec522f0895b10350a036f	23303	released
77b09053-1672-4ff5-8847-0542c43dab84	53269d16-dc3e-4b6e-a16a-c4658002350d.wxs.aliquot_ensemble_masked.maf.gz	95c75b4121dea9bd9207f405ceb4c231	9789	released
9d3df5ea-4031-43b5-afae-3445b0b27251	49fbe6fa-d693-48a9-832e-2ba80cc8763a.wxs.aliquot_ensemble_masked.maf.gz	ab3d790c766f4fa20ec1844b69da7fb6	24452	released
fb46b026-e2f0-4276-9e0e-4743dba4453e	9de241b6-d5ef-435b-8c83-9489c5cce4d2.wxs.aliquot_ensemble_masked.maf.gz	8d1fb8a530fe2007668c7c669ab2bb5d	268258	released
ad51c26d-b41b-47e4-9b01-43152df8ab91	58ef7ff8-68cb-4abd-9831-f05ea7ee1e62.wxs.aliquot_ensemble_masked.maf.gz	61bd01d32dff0c1fb882716debbf0c05	523272	released
8cde2161-05b4-49f6-bdac-38c272cb32e8	5ec35e86-2fb4-477e-813c-1b840410603c.wxs.aliquot_ensemble_masked.maf.gz	10d1406f0221295290366f84d4fd5478	461655	released
089be604-7898-424d-a857-a5a709588465	5bc06f66-600b-42ba-8487-a1498decdf48.wxs.aliquot_ensemble_masked.maf.gz	b234351cf1ef62e0c8f15c8a7062ab3b	436880	released
569232cc-28ae-4672-b958-fccd4e5911da	ca20c666-024a-4b63-8269-4dbbdee2c1fc.wxs.aliquot_ensemble_masked.maf.gz	4d0c3e0b81e80fc8eac93ce1c8f31e4a	2030269	released
4c0b6050-f501-4789-9ec5-32d1ae1f2bc4	96de4e6c-ead0-4c88-b477-7ab3fefe48f0.wxs.aliquot_ensemble_masked.maf.gz	bbc1e72f4bd09d504eabd563297211a2	27085	released
483edc0a-caaa-417d-abf2-7fabc4953bc0	8117f5c8-2790-4fa4-bc2b-f19bbad144a5.wxs.aliquot_ensemble_masked.maf.gz	e2d80c259193bc7c48c63150d8f36347	35908	released
c135d538-eb3d-41f4-994d-a47b82c1aaac	2987d681-d8bb-4df5-8639-741ae65d9bb3.wxs.aliquot_ensemble_masked.maf.gz	8e66a8a4c2919c149e424b60ec3a25f3	19561	released
5568e7a3-5e18-4326-8f4f-2f67e8c0631b	57006ea1-af51-4038-af06-7e6cf863d42d.wxs.aliquot_ensemble_masked.maf.gz	f6d9f12b49f438143e970cc5cdaaac3a	20836	released
cc2f2e9c-f477-42a2-a519-e29832919485	13adee19-e515-42cf-8ece-536d594b5938.wxs.aliquot_ensemble_masked.maf.gz	6bf10190f24eb54f304873a9d34c9a02	23672	released
2cfb65bc-c86d-47db-ac20-1ad336118d7e	e69f2590-6034-42ad-b811-953b0b4d21ef.wxs.aliquot_ensemble_masked.maf.gz	7a5ac805dcfa791e050cf124f8d06995	152838	released
61f6b9a7-7ddf-454c-a2b4-1a1cb895a765	1450021e-dd4b-4072-bb65-e07e97ba7d3a.wxs.aliquot_ensemble_masked.maf.gz	dbccada19a0cc61f1616a3b9f9df4d87	277409	released
1a9a60b7-d7c5-4975-b55c-5cccc194a69a	6ac5c3c5-155e-4759-a45a-e9ed5daf1897.wxs.aliquot_ensemble_masked.maf.gz	5b07ab103f0844b8844c9544a973341d	22701	released
80a42ddb-f740-47f2-bb0f-ddcc9b91dbda	f4adf604-4c66-42cf-8954-0e5e8320d109.wxs.aliquot_ensemble_masked.maf.gz	8fd0a3ef62cc8bbeba3a731c4809468c	38027	released
eb44d2cc-c6b7-48b4-87a2-505402dc5adb	734ceddb-c52a-40c4-b6f9-64283230f320.wxs.aliquot_ensemble_masked.maf.gz	eee72cbc5e42769a62573ba5e4d7efc6	9694	released
c6722124-fc6b-4cc2-adfd-3e04a1c9eb7b	b0bf45c8-1999-406d-a309-5c0fd6080737.wxs.aliquot_ensemble_masked.maf.gz	9a7462d3c39b14131fb2bba617fb376e	18516	released
75924c24-5f03-4257-a35c-ace486b7a2a9	d194c0f2-978a-40dd-ac47-98f0ed317440.wxs.aliquot_ensemble_masked.maf.gz	a5fea0f69fe5ccc2a0b7ca01d83a4c18	219657	released
faf1bb5f-bda6-49ef-bd7a-ebe9ed80619c	381cf566-1b4a-4f08-b13d-06078f7584b1.wxs.aliquot_ensemble_masked.maf.gz	dcaaa08e49a05b6e69d30ec3080ccfbc	26085	released
ccfb9d59-e823-4ffe-9cb3-48433d4ec952	c9846429-cb35-4d25-8f81-ba19c6e60cea.wxs.aliquot_ensemble_masked.maf.gz	0de374213d38431eb3ffcfd7d2aebce4	49352	released
6afa8b56-1897-4ee4-ab52-2ebf089a6825	c6252636-9a7d-482e-a89c-98b38b205446.wxs.aliquot_ensemble_masked.maf.gz	dec0dacb9ad25660cc69f07b90196c9f	28004	released
27b6cfbd-d057-4a32-9bb4-d01d9abe99ce	b56feba7-2c6a-4cb3-8d3c-ad34a150639a.wxs.aliquot_ensemble_masked.maf.gz	525176c6c41629975cfc448465f6ca20	1841	released
a68db551-9b3e-4d2b-a80d-19ea003ed54f	6ea64f4c-e16a-4dd7-9892-8bbff596c46d.wxs.aliquot_ensemble_masked.maf.gz	541249cec375bee3348af9a10dcb08aa	3580443	released
c0ed2362-1d9b-4533-94c9-7adc84d775cd	6ab59fce-8932-4457-8c28-57b768b24655.wxs.aliquot_ensemble_masked.maf.gz	7783100a2912912288cc01cff02aaa7c	23393	released
57dffbc8-22ad-4580-8d27-102365559aae	dc3294cf-650b-4480-bbe2-53572b603733.wxs.aliquot_ensemble_masked.maf.gz	d9722dbda7af1c4b6cd6605415861f05	20480	released
